# Исходник автора (models/generals) -> имя в игре (models/marches).
# Порядок генералов — строго как в GENERALS в index.html: gen-<раса>-<gen.id>.
# Имена в игре латиницей без пробелов намеренно: исходные несут кириллицу,
# пробелы, а у одного ещё и пробел в конце («Армия без генерала нежить .glb»)
# — по HTTP такое выживает не везде.
Алдрик|gen-human-0
Астрид|gen-human-1
Дорвальд|gen-dwarf-0
Гимрод|gen-dwarf-1
Ильвен|gen-elf-0
Тариэль|gen-elf-1
Владислав|gen-undead-0
Кармилла|gen-undead-1
Армия без генерала люди|army-human
Армия без генерала гномы|army-dwarf
Армия без генерала эльфы|army-elf
Армия без генерала нежить |army-undead
Разведчик Людей|scout-human
Разведчик Гном|scout-dwarf
Разведчик Эльф|scout-elf
Разведчик Нежить|scout-undead
